player_id,transfer_date,club_id,new_club,transfer_fee,player_name,minutes_played,goals,assists,yellow_cards,red_cards
576024,2024-08-12,13,Atlético Madrid,75000000.0,Julián Alvarez,2861,22,5,4,0
445939,2025-01-23,281,Man City,75000000.0,Omar Marmoush,580,3,0,0,0
502670,2025-01-17,583,Paris SG,70000000.0,Khvicha Kvaratskhelia,710,2,3,0,0
258889,2024-08-10,148,Tottenham,64300000.0,Dominic Solanke,2446,11,8,0,0
923831,2024-07-18,985,Man Utd,62000000.0,Leny Yoro,1109,0,0,3,0
487465,2024-08-11,631,Chelsea,60000000.0,Pedro Neto,1679,4,4,6,0
466805,2025-02-03,281,Man City,60000000.0,Nico González,423,1,0,2,0
670681,2024-08-05,583,Paris SG,59920000.0,João Neves,2492,3,9,1,0
485706,2024-07-22,405,Aston Villa,59350000.0,Amadou Onana,1408,4,0,4,0
293385,2024-08-09,131,Barcelona,55000000.0,Dani Olmo,1313,7,5,0,0
360518,2024-08-28,506,Juventus,54700000.0,Teun Koopmeiners,2608,3,3,5,0
566723,2024-07-07,27,Bayern Munich,53000000.0,Michael Olise,2540,13,11,2,0
462250,2024-08-21,631,Chelsea,52000000.0,João Félix,1806,7,2,5,1
447661,2024-07-01,506,Juventus,51500000.0,Douglas Luiz,795,0,0,2,0
257455,2024-07-11,27,Bayern Munich,51000000.0,João Palhinha,792,0,0,1,1
566931,2025-01-30,23826,RB Leipzig,50000000.0,Xavi Simons,5449,17,19,16,0
914562,2024-08-17,583,Paris SG,50000000.0,Désiré Doué,1693,4,9,1,0
476701,2024-08-30,985,Man Utd,50000000.0,Manuel Ugarte,2080,1,1,11,0
971570,2024-07-21,418,Real Madrid,47500000.0,Endrick,495,6,0,4,0
525247,2024-07-06,379,West Ham,47500000.0,Maximilian Kilman,2719,0,2,3,0
538977,2024-08-19,1237,Brighton,46700000.0,Georginio Rutter,1809,8,4,3,0
502821,2024-07-29,11,Arsenal,45000000.0,Riccardo Calafiori,1418,3,2,6,0
326031,2024-08-13,985,Man Utd,45000000.0,Matthijs de Ligt,2877,2,0,6,0
485585,2024-07-01,405,Aston Villa,44500000.0,Ian Maatsen,1316,1,1,3,0
435648,2024-07-14,985,Man Utd,42500000.0,Joshua Zirkzee,2039,6,2,2,0
488362,2024-08-21,13,Atlético Madrid,42000000.0,Conor Gallagher,1901,3,4,3,0
922693,2024-07-02,148,Tottenham,41250000.0,Archie Gray,2648,0,0,1,0
567576,2024-07-01,703,Nottm Forest,41200000.0,Elliot Anderson,2091,1,5,7,0
763079,2025-01-20,281,Man City,40000000.0,Abdukodir Khusanov,549,1,0,1,0
661171,2024-08-09,583,Paris SG,40000000.0,Willian Pacho,2887,0,1,2,0
711337,2024-08-16,989,Bournemouth,37000000.0,Evanilson,1578,7,0,1,0
1005575,2025-01-21,281,Man City,37000000.0,Vitor Reis,135,0,0,0,0
475188,2024-07-02,631,Chelsea,35400000.0,Kiernan Dewsbury-Hall,564,0,1,2,0
